"","date","titles","Views_final"
"39",2018-09-19,"Meade 1.25inch 40mm plossl",66
"40",2018-09-19,"Televue 7mm Nagler",176
"41",2018-09-19,"Nippon Kogaku 9mm Orthoscopic Eyepiece",104
"42",2018-09-19,"Televue 20mm plossl",94
"43",2018-09-19,"Orion Edge-On Planetary Eyepiece ** Reduced Price ** (final)",126
"44",2018-09-19,"APOGEE 1 1/4"" 8mm Plossl Eyepiece, Japanese lenses",53
"45",2018-09-19,"Meade Japan 32mm Plossll",41
"46",2018-09-19,"0.965"" Hardware",118
"47",2018-09-19,"University optics 12mm kellner (A)",126
"48",2018-09-19,"Pair of 12.5mm Edmund FMC Orthos - excellent",107
"49",2018-09-19,"Edmund 25mm FMC Ortho",96
"50",2018-09-19,"A Pair of Celestron Vixen (Circle V) Plossl Eyepieces",121
"51",2018-09-19,"Pair Of Vixen LV EP's - 6mm & 9mm",71
"52",2018-09-19,"Tele Vue 19mm Panoptic",250
"53",2018-09-19,"BNIB - Tele Vue 31 mm Nagler Type 5 Eyepiece",108
"54",2018-09-18,"<REDUCED> TeleVue 11mm Nagler T1 w/ Green Box – Collectors Grade",104
"55",2018-09-18,"Baader 17.5mm Morpheus Like New Cond.",119
"56",2018-09-18,"Economical Starter Set Eyepieces, Filters, Barlow, Case",171
"57",2018-09-18,"Celestron 1 1/4"" silver top Plossl 10mm Eyepiece made in Japan",66
"58",2018-09-18,"Celestron 1 1/4""  7.5mm Japanese made Ultima Series Eyepiece",92
"59",2018-09-18,"Orion 9.5mm Lanthanum 1.25"" EP",77
"60",2018-09-18,"TeleVue Delite 4mm, 5mm, 7mm",182
"61",2018-09-18,"Vixen LVW 17mm 1.25"" EP in a great shape",67
"62",2018-09-18,"SCOPE STUFF EYEPIECE PROJECTION TUBE-INCLUDES SHIPPING",100
"63",2018-09-18,"Wanted: Meade 12.4 Japan Super Plossl "" Smoothie""",43
"64",2018-09-18,"Fujiyama HD-OR 6-12.5-25 eyepieces",36
"65",2018-09-18,"2” 30mm 80° eyepiece",197
"66",2018-09-18,"12mm AT and 7.5 mm Levenhuk Plossls",46
"67",2018-09-18,"25 mm & 12 mm celestron orthos Wanted",32
"68",2018-09-17,"CORONADO Cemax 25mm",59
"69",2018-09-17,"13 & 8mm Ethos",241
"70",2018-09-17,"Pair Of Volcano Top Celestron Kellners - 25mm & 40mm, In Boxes",122
"71",2018-09-17,"Orion Japan 50mm Plossl 2"" EP",105
"72",2018-09-17,"Orion Q70 38mm EPs - 70 Degrees 2""",130
"73",2018-09-17,"Tele Vue 16mm Nagler T2 Japan $135 Shipped",95
"74",2018-09-17,"EYEPIECE SALE!",674
"75",2018-09-17,"25mm Plossl Wide Angle Eyepiece 1.25""",95
"76",2018-09-17,"Tele-Vue 4.8mm Nagler",147
"77",2018-09-17,"Vixen SLV 6mm 1.25""",78
"78",2018-09-17,"NEW .965"" 9mm Ramsden Crosshair Eyepiece",29
"79",2018-09-17,"ES 25MM Super Plossl Almost new Shipped",64
"80",2018-09-17,"Pentax XL 14mm",82
"81",2018-09-17,"TeleVue 31mm Type 5 eyepiece",54
"82",2018-09-17,"VIXEN  22MM  LV-W",97
"83",2018-09-17,"32mm Masuyama 85, 14mm TV Radian, 9mm ES 100 for sale",233
"84",2018-09-17,"LOWER PRICE! Vintage Set Of Edscorp Volcano Top Ortho Eyepieces",153
"85",2018-09-17,"Celestron 40mm and 32mm Plossls",94
"86",2018-09-17,"University 4mm Volcano Top Ortho Circle T JAPAN",65
"87",2018-09-17,"University Optics Ortho 7mm Volcano Top",58
"88",2018-09-16,"7.7mm and 4.8mm Orthoscopic",144
"89",2018-09-16,"pair of 25mm japan orthos and 3x barlow",156
"90",2018-09-16,"TeleVue 16mm Nagler Type 2",100
"91",2018-09-16,"25mm Fujiyama HD-OR (2 available)",113
"92",2018-09-16,"12.5mm Fujiyama HD-OR (1 left)",95
"93",2018-09-16,"Televue Eyepieces",333
"94",2018-09-16,"Meade Lens Set, Filters, Collimators, Illum. Reticals",193
"95",2018-09-16,"Televue 2"" Paracorr",184
"96",2018-09-16,"Explore Scientific 14mm 82 Degree",109
"97",2018-09-16,"Explore Scientific 11mm 82° 1.25"" eyepiece",86
"98",2018-09-16,"TeleVue T-Ring Adapter for 1 1/4"" Powermate",62
"99",2018-09-15,"Parks Gold Series 10mm & 3-Element 2x Barlow",153
"100",2018-09-15,"Vixen LVW 13mm",81
"101",2018-09-15,"Celestron, Antares W70 Series, and Generic Wide Angle EPs",261
"102",2018-09-15,"Televue Nagler (T1) 9mm. Dual barrel.  Circle NJ",148
"103",2018-09-15,"Complete Baader Genuine Ortho Set with Boxes",237
"104",2018-09-14,"TeleVue Ethos 13mm",167
"105",2018-09-14,"Nagler 7mm mint original Type 1",219
"106",2018-09-14,"Cleaning out Eyepieces Sale!",997
"107",2018-09-14,"Celestron #94175 f6.3 Reducer/Corrector w/Caps - Japan",106
"108",2018-09-14,"Old School Smoothie Tele Vue 10.5mm Plossl W/Rubber Eyecup",114
"109",2018-09-14,"Minty Meade Research Grade RG 10.5mm Ortho w/Box",185
"110",2018-09-14,"Meade 56mm 2"" Plossl - Excellent Condition",127
"111",2018-09-14,"1960s Edmund Scientific 1.25"" triple ocular turret!",189
"112",2018-09-14,"Pair of Baader Mk 1V zooms",162
"113",2018-09-13,"Celestron 4mm Omni 1.25"" Eyepiece - 93316",61
"114",2018-09-13,"GSO 32mm Plossls (2 available)",178
"115",2018-09-13,"Meade 14mm XWA",181
"116",2018-09-13,"TeleVue 8mm Radian",105
"117",2018-09-13,"UO 20mm Wide View Plossl - RARE",276
"118",2018-09-13,"Pentax XW 3.5 eyepiece with box and papers.",102
"119",2018-09-13,"Meade 1.25"" 9.7mm Super Plossl Eyepiece, Made in Japan",73
"120",2018-09-13,"Orion Stratus 3.5mm 68* 20mm ER!!",97
"121",2018-09-12,"Meade 26mm SP Japan",161
"122",2018-09-12,"Vixen 20mm NPL",102
"123",2018-09-12,"Edmund 28mm 4-Element",193
"124",2018-09-12,"Orion Stratus 3.5mm High Quality Wide angle Eyepiece",93
"125",2018-09-12,"Tele-Vue 13mm Plossl - Circle NJ JAPAN",147
"126",2018-09-12,"Clave 25mm Plossl",154
"127",2018-09-12,"WANTED TeleVue Delite 9MM WANTED",32
"128",2018-09-12,"Baader 9mm Morpheus Eyepiece New Condition",112
"129",2018-09-12,"Explore Scientific 18mm - 82 degree series eyepiece",113
"130",2018-09-12,"1.25"" 17mm Konig Eyepiece",96
"131",2018-09-12,"ES/Bresser 1.25"" 26mm Plossl Eyepiece",49
"132",2018-09-12,"ES/Bresser 1.25"" 9.7mm Plossl Eyepiece",36
"133",2018-09-12,"5 Cheap Eyepieces",180
"134",2018-09-12,"Baader 36mm",152
"135",2018-09-12,"Agena 1.25"" 20mm Illuminated Reticle w/ Dual Crosshair",44
"136",2018-09-11,"Celestron Silver Tops & Tele Vue Plossl eyepieces",300
"137",2018-09-11,"6.3mm Plossl from a Vixen refractor",61
"138",2018-09-11,"Vixen NPL 10mm",68
"139",2018-09-11,"Celestron MZ 8-24mm Zoom Eyepiece - Spotting Scopes",165
"140",2018-09-11,"21mm Ethos",167
"141",2018-09-11,"Meade Super Plossl 26mm Series 4000",72
"142",2018-09-11,"MINT Vixen LV 9mm",87
"143",2018-09-11,"2 x Televue 8-24mm Click-stop zoom eyepieces - sold",268
"144",2018-09-11,"CELESTRON 36mm SILVERTOP Plossl",89
"145",2018-09-11,"Coma corrector",59
"146",2018-09-11,"Unitron 40mm Monochrome Eyepiece - 1.25""",76
"147",2018-09-11,"looking for a delos 14mm eyepiece",25
"148",2018-09-11,"WANTED: Celestron ""Volcano Top""",61
"149",2018-09-11,"Wanted: 9mm Meade XWA Series 5000 100 degree eyepiece",25
"150",2018-09-11,"Orion Ultrascopic 5mm Illuminated Reticle Eyepiece",71
"151",2018-09-11,"Reduced - Seven Relatively Inexpensive Eyepieces 1.25""",273
"152",2018-09-11,"Wanted:  Vixen HR eyepiece set with boxes and caps",20
"153",2018-09-11,"University Optics BOXES for the ""abbe"" VT orthoscopics",32
"154",2018-09-11,"University Optics HD orthoscopics",38
"155",2018-09-10,"Vintage Meade Smoothside Series 4000, 9.7mm Plossl",120
"156",2018-09-10,"7mm Pentax XW",63
"157",2018-09-10,"WTB: Meade 4000 SWA (Japan) 24.5mm",34
"158",2018-09-10,"Orion 3.5mm Stratus Wide-Field Eyepiece",84
"159",2018-09-10,"Explore Scientific 82° 30mm Eyepiece",159
"160",2018-09-10,"32mm plossl 1.25"" VERY clean",160
"161",2018-09-09,"2"" GSO 42mm SuperView Wanted",62
"162",2018-09-09,"Wanted: Televue Zoom 2-4mm",35
"163",2018-09-09,"GSO 2"" .5x focal reducer",106
"164",2018-09-09,"7mm TV Nagler",147
"165",2018-09-09,"Meade UWA 8.8mm (1.25"")",121
"166",2018-09-09,"Celestron Plossls",145
"167",2018-09-08,"Meade 4000 Ultra Wide 8.8mm",191
"168",2018-09-08,"ES 5.5mm 62-degree",113
"169",2018-09-08,"Baader 1.25"" Classic Orthoscopic Eyepiece - 10mm BCO-10",70
"170",2018-09-08,"TeleVue 24mm Panoptic - Original box + bolt case. Mint condition",117
"171",2018-09-08,"CELESTRON LUMINOS 2.5 BARLOW LENS 2""",69
"172",2018-09-08,"Nagler 17mm Type 4 Very good condition",129
"173",2018-09-08,"SWA 1.25"" 20mm 70 degree eyepiece",102
"174",2018-09-08,"BST 1.25"" 16mm Flat 60 degree Field Eyepiece",50
"175",2018-09-08,"SWA 26mm 70 degree 2"" eyepiece",95
"176",2018-09-08,"Televue Nagler 17mm",128
"177",2018-09-08,"Meade super plossel 4000 eyepiece set",55
"178",2018-09-08,"Tele Vue Nagler 31mm 2"" Eyepiece Type 5",195
"179",2018-09-08,"Interesting HQ eyepieces Zeiss(4) Olympus (1)Wild Herbrugg(1)",365
"180",2018-09-07,"Celestron Omni Series 40 mm 1.25"" Eyepiece",100
"181",2018-09-07,"WTB: Edmund Scientific 28mm RKE Eyepiece",71
"182",2018-09-07,"Meade 82° UWA 5.5mm 1.25” eyepiece",138
"183",2018-09-07,"7mm Televue Nalger Type 6",90
"184",2018-09-07,"Baader 2958080 hyperion T adapter (m43/T2) for baader IV zoom",82
"185",2018-09-07,"Baader Hyperion Mark IV 8-24mm zoom - used only twice",164
"186",2018-09-07,"Televue Nagler 22mm Type 4",90
"187",2018-09-07,"Nikon NAV HW 17MM",131
"188",2018-09-07,"Meade series QX Wide Angle and 4000 Super Plossl",172
"189",2018-09-07,"Meade Series 5000 MWA 10mm (1.25"")",183
"190",2018-09-07,"TeleVue 24mm PanOptic",279
"191",2018-09-07,"UO Konig and Siebert SS3 !!!",217
"192",2018-09-07,"TAL Kellner 42 mm Russian Eyepiece",76
"193",2018-09-07,"DELOS EYEPIECE SALE",348
"194",2018-09-06,"Celestron 36mm silvertop /repair",221
"195",2018-09-06,"NEW Inexpensive Eyepieces",288
"196",2018-09-06,"Astro-Tech / GSO Superview 2"" 30mm and 42mm EPs",203
"197",2018-09-06,"Takahashi LE 1.25 inch eyepieces",207
"198",2018-09-06,"15mm Televue DeLite",96
"199",2018-09-06,"Meade 4000 SWA (Japan) 18mm",113
"200",2018-09-06,"Celestron ortho 18&40mm in 2''",42
"201",2018-09-06,"1.25"" 7mm Plossl Eyepiece (NEW)",60
"202",2018-09-05,"Celestron X-Cel LX Eyepiece - 1.25-Inch 9mm",126
"203",2018-09-05,"14mm Denkmeir / 21 mm Denkmeir",179
"204",2018-09-05,"Pentax XW 10mm",148
"205",2018-09-05,"Televue 15mm Plossl",106
"206",2018-09-05,"WANTED University Optics 18mm Orthoscopic Ocular - Volcano Top Design EXCELLENT+",37
"207",2018-09-05,"Orion Ultrascopic 15mm",116
"208",2018-09-05,"Televue Ethos 21mm ***Excellent***",161
"209",2018-09-05,"Tele Vue 3mm Radian",94
"210",2018-09-05,"Tele Vue 11mm Nagler Type 6",105
"211",2018-09-05,"Tele Vue 9mm Nagler Type 6",89
"212",2018-09-05,"Tele Vue 5mm Radian",76
"213",2018-09-05,"Tele Vue 5mm Nagler Type 6",75
"214",2018-09-05,"Smart Astronomy 19mm Flat Field $45",66
"215",2018-09-05,"Explore Scientific 82 Degree 6.7mm eyepiece for 8.8mm",140
"216",2018-09-05,"Celestron Luminos Series 1.25"" in. 15 mm Eyepiece - 93432",87
"217",2018-09-05,"Celestron 1.25"" 10mm Luminos Eyepiece - 93431",68
"218",2018-09-05,"Celestron Luminos Series 1.25"" 7 mm Eyepiece - 93430",74
"219",2018-09-05,"Olivon 1.25"" 8mm to 24mm Zoom Eyepiece",79
"220",2018-09-04,"Baader Morpheus 6.5mm for sale - updated",266
"221",2018-09-04,"celestron 25mm plossl. REDUCED.... AGAIN",93
"222",2018-09-04,"18mm Celestron Ultima # 93353",189
"223",2018-09-04,"Eyepiece / Finder Illuminator with Variable Pulse Function",101
"224",2018-09-04,"Meade HD-60 12mm /25mm",55
"225",2018-09-04,"Meade 5000 6.7mm uwa",75
"226",2018-09-04,"Explore Scientific 28mm 68 degree",72
"227",2018-09-04,"Televue Nagler 31mm **Excellent condition**",107
"228",2018-09-04,"Meade HD-60 6.mm and 9mm",148
"229",2018-09-04,"REDUCED:  NEW SkyWatcher 5mm UWA Eyepiece",117
"230",2018-09-04,"Celestron Ultima WA 15mm",100
"231",2018-09-03,"New in Box Meade Series 5000 UWA 20mm",143
"232",2018-09-03,"EXPLORE SCIENTIFIC 82° 30MM",109
"233",2018-09-03,"Pentax XW 10 mm",118
"234",2018-09-03,"18mm Meade 5000 UWA eyepiece",84
"235",2018-09-03,"Celestron 1.25” eyepiece kit + filters and case. Newish",138
"236",2018-09-03,"** WANTED---18mm RADIAN ---** WANTED **",33
"237",2018-09-03,"Celestron Luminos 23mm",99
"238",2018-09-03,"Tele Vue Nagler Type 6 9mm",107
"239",2018-09-03,"Tele Vue Delos 6mm",101
"240",2018-09-03,"Meade Research Grade 4mm Eyepiece",142
"241",2018-09-03,"Pair of Denkmeier 21mm eyepieces...Price Reduced",122
"242",2018-09-03,"NEW SkyWatcher 2 inch 28mm LET Eyepiece.",86
"243",2018-09-03,"Celestron Luminos Series 2in. 19mm Eyepiece -  93433",91
"244",2018-09-03,"Celestron Luminos Series 2"" in. 23mm Eyepiece -  93433",62
"245",2018-09-03,"Celestron 40mm Plössl (1.25"") - Excellent Condition",78
"246",2018-09-03,"Galileo 1.25"" 25mm Astroscopic Eyepiece",81
"247",2018-09-03,"Explore Scientific 20mm 100 degree eye piece",98
"248",2018-09-03,"1.25"" Orion Highlight 26mm Plossl",53
"249",2018-09-02,"Meade 24mm ultrawide",111
"250",2018-09-02,"Explore Scientific 20mm",177
"251",2018-09-02,"Two TeleVue EPs: 11mm and 18.2mm",173
"252",2018-09-02,"Russell Super Wide Konigs 14mm & 19mm",129
"253",2018-09-02,"Orion Ultrascopic Eyepieces",520
"254",2018-09-02,"2” BW Optik 30mm 80* Ultrawide",168
"255",2018-09-02,"Four High Point Scientific Plossls and aluminum case",207
"256",2018-09-02,"Pro-Optic Plossl Eyepiece Set 1.25""",141
"257",2018-09-02,"Astro Hutech 12.5MM Japanese ortho 47 shipped",108
"258",2018-09-02,"Takahashi MC Abbe Ortho set 6,9,12.5,18,25mm",164
"259",2018-09-01,"TMB Planetary II - 6mm",202
"260",2018-09-01,"new large accessory case;binos,cameras,EPs?",216
"261",2018-09-01,"Smart Astronomy UW80* F20mm modular 2"" EP",91
"262",2018-09-01,"ZAO II 4 mm Factory Vacuum Sealed",93
"263",2018-09-01,"ZAO II 6 mm Factory Vacuum Sealed",112
"264",2018-09-01,"Televue TV 4X Powermate",98
"265",2018-09-01,"Explore Scientific 20mm 100 degree eye piece",106
"266",2018-09-01,"Lot of 5 Great Eyepieces - LOW PRICE",345
"267",2018-09-01,"Televue Radian 4mm",76
"268",2018-09-01,"Vixen LVW 5mm $130 Shipped in CONUS and I pay fee.",104
"269",2018-08-31,"Televue and Orion Eyepieces",647
"270",2018-08-31,"WANTED: Siebert 2” 34-36mm observatory series eyepiece",60
"271",2018-08-31,"6 mm Brandon eyepiece",194
"272",2018-08-31,"Siebert 34 mm Observatory Eyepiece",230
"273",2018-08-31,"Meade 5000 34mm SWA",132
"274",2018-08-31,"Final Offer: Bausch & Lomb 17mm Professional Grade EPs",134
"275",2018-08-31,"Coronado CEMAX Solar Eyepiece Set",128
"276",2018-08-31,"Japanese Kellner Eyepieces (NEW)",133
"277",2018-08-31,"Orion 2x 4 element super barlow",79
"278",2018-08-31,"Edmund RKE 8mm for sale!",270
"279",2018-08-31,"TV Nagler 22mm T4  $330 + shipping & PP",44
"280",2018-08-31,"Winged Eye Guards for Celestron Ultima eyepieces",37
"281",2018-08-30,"Televue 32mm Widefield 2"" 65 deg AFOV",185
"282",2018-08-30,"32 mm, 1.25"" Plossl Eyepiece",127
"283",2018-08-30,"Celestron Ultima 7.5mm Japan, Excellent",96
"284",2018-08-30,"Vintage Brandon Eyepiece",212
"285",2018-08-30,"Orion Stratus EPs 30mm, 21mm, 17mm, FREE SHIPPING!",275
"286",2018-08-29,"TV 55 Plossl",111
"287",2018-08-29,"Explore Scientific ES82 18mm",110
"288",2018-08-29,"Pentax 8-24mm SMC Zoom Eyepiece",150
"289",2018-08-29,"Tele Vue 7mm Nagler Type 6",80
"290",2018-08-29,"Tele Vue 10mm Radian",96
"291",2018-08-29,"Tele Vue 19mm Panoptic",169
"292",2018-08-29,"10mm Pentax XW",119
"293",2018-08-29,"Explore Scientific 30 mm Eyepiece",181
"294",2018-08-29,"Orion Q70 26mm 2"" Super Wide Angle",94
"295",2018-08-29,"Meade 24mm series 5000 Ultra wide (82 degree)",190
"296",2018-08-29,"Meade 20mm series 5000 ultra wide (82 degtree)",78
"297",2018-08-28,"Sirius 40mm Plossl - 1.25""",95
"298",2018-08-28,"Televue 31 Eyepiece Wanted!",58
"299",2018-08-28,"Binoviewer EP Pairs Barlows Meade Bausch & Lomb Edmund Cave",322
"300",2018-08-28,"Wanted: Explore Scientific 8.8mm 82°",45
"301",2018-08-28,"TeleVue 5x Powermante",110
"302",2018-08-28,"Brandon 48mm - Reduced",180
"303",2018-08-28,"Televue 32mm Plossl pair circle ""R""",221
"304",2018-08-28,"Meade 40mm 1.25'' Plossl Smoothie",123
"305",2018-08-28,"Astro-Physics GTO CP2 control box",92
"306",2018-08-27,"Ethos 3.7mm SX 110° - MINT",103
"307",2018-08-27,"TeleVue Nagler 26mm T5",64
"308",2018-08-27,"TeleVue 17mm Nagler Type 4 Eyepiece",110
"309",2018-08-27,"Astro Tech 2"" Newtonian Coma Corrector",152
"310",2018-08-27,"Meade  1 1/4"" Plossl and Super Plossl eyepieces with cases",159
"311",2018-08-27,"Meade 5000 series 14mm plossl",83
"312",2018-08-27,"13mm Televue Ethos BNIB",132
"313",2018-08-27,"REDUCED Meade F6.3 Focal Reducer",106
"314",2018-08-27,"Meade Illuminated Astrometric Eyepiece",105
"315",2018-08-27,"Astro-Tech 12mm Dual ED Paradigm Eyepiece",115
"316",2018-08-27,"Televue Ethos 4.7 SX 110 Degree Eyepiece",94
"317",2018-08-27,"Agena Starguider EPs 18mm, 15mm, 8mm FREE SHIPPING",150
"318",2018-08-27,"Scopetronix Maxview 40",120
"319",2018-08-27,"Pairs of Nagler T6 11mm & 5mm, also single EP's available.",212
"320",2018-08-27,"Meade Series 4000 8-24mm Zoom Eyepiece (1.25"")",143
"321",2018-08-26,"Surplus shed 38mm 1.25 eyepiece.",149
"322",2018-08-26,"TV Paracorr Visual PCV-2000",148
"323",2018-08-26,"Vixen 2.5mm LV Lanthanum and Orion 3.8mm Lanthanum",239
"324",2018-08-26,"Televue 8mm",197
"325",2018-08-26,"WANTED PARKS GS EYEPIECES TOP $ PAID",55
"326",2018-08-26,"Eyepieces and Eyepiece Peripherals",562
"327",2018-08-26,"TeleVue Doptrix Adapter (DEA-001) for 24 Panoptic",72
"328",2018-08-26,"Updated..Wanted Morpheous 17.5mm lens",29
"329",2018-08-26,"Tele Vue Nagler 3.5mm, Type 6",95
"330",2018-08-26,"Explore Scientific 17mm 92° long eye relief (from EU)",137
"331",2018-08-26,"Explore Scientific 9mm 120° (from EU)",149
"332",2018-08-26,"Meade XWA 14mm Series 5000 eyepiece",182
"333",2018-08-26,"Agena Starguider Dual ED 3.2mm",77
"334",2018-08-26,"Agena Starguider Dual ED 5.0mm",70
"335",2018-08-25,"35mm Baader Eudiascopic ED",209
"336",2018-08-25,"Baader Hyperion Mark IV 24mm-8mm Zoom",181
"337",2018-08-25,"Nagler 4.8 ""smoothie""",79
"338",2018-08-25,"TeleVue Plossl set 8-32",229
"339",2018-08-25,"More classic eyepieces - Edmund, Jaegers, Brass",525
"340",2018-08-25,"Classic Eyepieces -",532
"341",2018-08-25,"TeleVue Nagler T6 complete set",362
"342",2018-08-25,"Widescan Type III 30mm 84* KK Japan",98
"343",2018-08-25,"Great alternativ for ZEISS Abbé A-25",229
"344",2018-08-25,"Reduced: VINTAGE CELESTRON 25mm KELLNER EYEPIECE",130
"345",2018-08-25,"Lower $: ORION SIRIUS 25mm PLOSSL – Excellent Condition!",68
"346",2018-08-25,"Reduced: STARGUIDER COLLIMATING EYEPIECE - Excellent Condition!",87
"347",2018-08-24,"TeleVue Ethos 21mm  100° eyepiece - mint",105
"348",2018-08-24,"TeleVue Ethos 17 mm 100  degrees - mint",78
"349",2018-08-24,"Wanted: Junker Meade 6.7mm UWA Series 4000",78
"350",2018-08-24,"Tele Vue DeLite 4mm - Brand New in Box",79
"351",2018-08-24,"Tell Vue Radians 8mm, 10mm, 12mm, 14mm, 18mm",369
"352",2018-08-24,"19mm Panoptic",206
"353",2018-08-24,"Classic Celestron/Vixen SILVERTOPS, set of 4",177
"354",2018-08-24,"Celestron X-Cel LX 3x Barlow #93428",91
"355",2018-08-24,"Baader 1.25"" 2.25x Hyperion Zoom Barlow kit with T-Adapter 2956180",101
"356",2018-08-24,"Celestron X-Cel LX 12mm  1.25"" Eyepiece",98
"357",2018-08-24,"Celestron X-Cel LX 25mm  1.25"" Eyepiece",85
"358",2018-08-24,"Classic Meade EPs and Barlow",330
"359",2018-08-24,"Televue Visionary 5mm DeLite near perfect",122
"360",2018-08-24,"Televue 32mm Plossls",126
"361",2018-08-24,"TeleVue Nagler Type 5 31mm. REDUCED $$",206
"362",2018-08-24,"56mm 2"" Meade (or similar)",63
"363",2018-08-24,"ES 20mm 68-degree",92
"364",2018-08-23,"WANTED: 6mm TeleVue Ethos",42
"365",2018-08-23,"4x Pre-RKE Edmund 1/2"" 1.25"" EPs",62
"366",2018-08-23,"Televue Ethos 13 100 Degree Eyepiece",103
"367",2018-08-23,"Celestron 9mm Ortho",152
"368",2018-08-23,"Vixen LV 10mm - Made in Japan",76
"369",2018-08-23,"Ethos 10mm ($475) looking for two of them",50
"370",2018-08-22,"TeleVue Ethos 10 mm eyepiece",104
"371",2018-08-22,"Explore Scientific 14mm. 82 Degree FOV Eyepiece",182
"372",2018-08-22,"Televue Nagler 13mm",223
"373",2018-08-22,"Meade series 4000 2 inch 56 mm Eyepiece as new",116
"374",2018-08-22,"Garrett Optical 38mm 2"" eyepiece 69' FOV",75
"375",2018-08-22,"Zhumell Eyepiece 9mm 100 degree wide angle 2"" and 1.25""",94
"376",2018-08-22,"William Optics Binoviewer with 20mm eyepieces",123
"377",2018-08-21,"TeleVue Radian 6mm and 8mm",168
"378",2018-08-21,"Tele Vue 32mm Plossl",127
"379",2018-08-21,"Televue Nagler 11mm Type 1 Circle NJ",135
"380",2018-08-21,"Tele Vue 19 mm Panoptic",160
"381",2018-08-21,"Mint 70's vintage Celestron ortho's 6mm and 7mm Reduced",209
"382",2018-08-21,"Televue 40 mm Wide field eyepiece 2 inch",214
"383",2018-08-21,"TELE VUE 31 NAGLER",123
"384",2018-08-21,"[New] Explore Scientific 24mm 82 Deg EP",89
"385",2018-08-21,"Pentax XW 20mm EP",71
"386",2018-08-21,"Meade Series 4000 Super Plössl 9.7mm (Japan)",65
"387",2018-08-21,"Orion 20mm illuminating centering eyepiece",64
"388",2018-08-21,"ORION EXPANSE 6MM, 9MM AND 20MM",106
"389",2018-08-21,"Edmund 15mm & 8mm RKE Eyepieces",190
"390",2018-08-21,"SmartAstronomy Extra Flat 19mm 65° 1.25"" Eyepiece w/ Adjustable Eye Relief",126
"391",2018-08-21,"Celestron 18mm Xcel eyepiece",109
"392",2018-08-21,"Tele Vue 11mm DeLite, Excellent Condition",140
"393",2018-08-20,"Binoviewer pair of Knight OWL 12.5mm Plossl eyepieces",94
"394",2018-08-20,"Pentax 5.2mm XL Eyepiece",115
"395",2018-08-20,"Nice 26mm, 17mm, and 10mm Plossl Pairs",118
"396",2018-08-20,"Various Meade Eyepieces",249
"397",2018-08-20,"17mm Televue Plossl Smoothie with box and cap",80
"398",2018-08-20,"$55 SHIPPED, Set of 3 Celestron 'black' 6mm/9mm/15mm plossls NOS",24
"399",2018-08-20,"Tele Vue 11 mm Nagler very good $150",184
"400",2018-08-20,"19mm PAN very good condition $140",112
"401",2018-08-20,"70mm Kellner Eyepiece - Unusual",218
"402",2018-08-20,"Tele Vue Panoptic 15mm",84
