"","titles"
"100","Vixen LVW 13mm"
"101","Celestron, Antares W70 Series, and Generic Wide Angle EPs"
"102","Televue Nagler (T1) 9mm. Dual barrel.  Circle NJ"
"103","Complete Baader Genuine Ortho Set with Boxes"
"104","TeleVue Ethos 13mm"
"105","Nagler 7mm mint original Type 1"
"106","Cleaning out Eyepieces Sale!"
"107","Celestron #94175 f6.3 Reducer/Corrector w/Caps - Japan"
"108","Old School Smoothie Tele Vue 10.5mm Plossl W/Rubber Eyecup"
"109","Minty Meade Research Grade RG 10.5mm Ortho w/Box"
"110","Meade 56mm 2"" Plossl - Excellent Condition"
"111","1960s Edmund Scientific 1.25"" triple ocular turret!"
"112","Pair of Baader Mk 1V zooms"
"113","Celestron 4mm Omni 1.25"" Eyepiece - 93316"
"114","GSO 32mm Plossls (2 available)"
"115","Meade 14mm XWA"
"116","TeleVue 8mm Radian"
"117","UO 20mm Wide View Plossl - RARE"
"118","Pentax XW 3.5 eyepiece with box and papers."
"119","Meade 1.25"" 9.7mm Super Plossl Eyepiece, Made in Japan"
"120","Orion Stratus 3.5mm 68* 20mm ER!!"
"121","Meade 26mm SP Japan"
"122","Vixen 20mm NPL"
"123","Edmund 28mm 4-Element"
"124","Orion Stratus 3.5mm High Quality Wide angle Eyepiece"
"125","Tele-Vue 13mm Plossl - Circle NJ JAPAN"
"126","Clave 25mm Plossl"
"127","WANTED TeleVue Delite 9MM WANTED"
"128","Baader 9mm Morpheus Eyepiece New Condition"
"129","Explore Scientific 18mm - 82 degree series eyepiece"
"130","1.25"" 17mm Konig Eyepiece"
"131","ES/Bresser 1.25"" 26mm Plossl Eyepiece"
"132","ES/Bresser 1.25"" 9.7mm Plossl Eyepiece"
"133","5 Cheap Eyepieces"
"134","Baader 36mm"
"135","Agena 1.25"" 20mm Illuminated Reticle w/ Dual Crosshair"
"136","Celestron Silver Tops & Tele Vue Plossl eyepieces"
"137","6.3mm Plossl from a Vixen refractor"
"138","Vixen NPL 10mm"
"139","Celestron MZ 8-24mm Zoom Eyepiece - Spotting Scopes"
"140","21mm Ethos"
"141","Meade Super Plossl 26mm Series 4000"
"142","MINT Vixen LV 9mm"
"143","2 x Televue 8-24mm Click-stop zoom eyepieces - sold"
"144","CELESTRON 36mm SILVERTOP Plossl"
"145","Coma corrector"
"146","Unitron 40mm Monochrome Eyepiece - 1.25"""
"147","looking for a delos 14mm eyepiece"
"148","WANTED: Celestron ""Volcano Top"""
"149","Wanted: 9mm Meade XWA Series 5000 100 degree eyepiece"
"150","Orion Ultrascopic 5mm Illuminated Reticle Eyepiece"
"151","Reduced - Seven Relatively Inexpensive Eyepieces 1.25"""
"152","Wanted:  Vixen HR eyepiece set with boxes and caps"
"153","University Optics BOXES for the ""abbe"" VT orthoscopics"
"154","University Optics HD orthoscopics"
"155","Vintage Meade Smoothside Series 4000, 9.7mm Plossl"
"156","7mm Pentax XW"
"157","WTB: Meade 4000 SWA (Japan) 24.5mm"
"158","Orion 3.5mm Stratus Wide-Field Eyepiece"
"159","Explore Scientific 82° 30mm Eyepiece"
"160","32mm plossl 1.25"" VERY clean"
"161","2"" GSO 42mm SuperView Wanted"
"162","Wanted: Televue Zoom 2-4mm"
"163","GSO 2"" .5x focal reducer"
"164","7mm TV Nagler"
"165","Meade UWA 8.8mm (1.25"")"
"166","Celestron Plossls"
"167","Meade 4000 Ultra Wide 8.8mm"
"168","ES 5.5mm 62-degree"
"169","Baader 1.25"" Classic Orthoscopic Eyepiece - 10mm BCO-10"
"170","TeleVue 24mm Panoptic - Original box + bolt case. Mint condition"
"171","CELESTRON LUMINOS 2.5 BARLOW LENS 2"""
"172","Nagler 17mm Type 4 Very good condition"
"173","SWA 1.25"" 20mm 70 degree eyepiece"
"174","BST 1.25"" 16mm Flat 60 degree Field Eyepiece"
"175","SWA 26mm 70 degree 2"" eyepiece"
"176","Televue Nagler 17mm"
"177","Meade super plossel 4000 eyepiece set"
"178","Tele Vue Nagler 31mm 2"" Eyepiece Type 5"
"179","Interesting HQ eyepieces Zeiss(4) Olympus (1)Wild Herbrugg(1)"
"180","Celestron Omni Series 40 mm 1.25"" Eyepiece"
"181","WTB: Edmund Scientific 28mm RKE Eyepiece"
"182","Meade 82° UWA 5.5mm 1.25” eyepiece"
"183","7mm Televue Nalger Type 6"
"184","Baader 2958080 hyperion T adapter (m43/T2) for baader IV zoom"
"185","Baader Hyperion Mark IV 8-24mm zoom - used only twice"
"186","Televue Nagler 22mm Type 4"
"187","Nikon NAV HW 17MM"
"188","Meade series QX Wide Angle and 4000 Super Plossl"
"189","Meade Series 5000 MWA 10mm (1.25"")"
"190","TeleVue 24mm PanOptic"
"191","UO Konig and Siebert SS3 !!!"
"192","TAL Kellner 42 mm Russian Eyepiece"
"193","DELOS EYEPIECE SALE"
"194","Celestron 36mm silvertop /repair"
"195","NEW Inexpensive Eyepieces"
"196","Astro-Tech / GSO Superview 2"" 30mm and 42mm EPs"
"197","Takahashi LE 1.25 inch eyepieces"
"198","15mm Televue DeLite"
"199","Meade 4000 SWA (Japan) 18mm"
"200","Celestron ortho 18&40mm in 2''"
"201","1.25"" 7mm Plossl Eyepiece (NEW)"
"202","Celestron X-Cel LX Eyepiece - 1.25-Inch 9mm"
"203","14mm Denkmeir / 21 mm Denkmeir"
"204","Pentax XW 10mm"
"205","Televue 15mm Plossl"
"206","WANTED University Optics 18mm Orthoscopic Ocular - Volcano Top Design EXCELLENT+"
"207","Orion Ultrascopic 15mm"
"208","Televue Ethos 21mm ***Excellent***"
"209","Tele Vue 3mm Radian"
"210","Tele Vue 11mm Nagler Type 6"
"211","Tele Vue 9mm Nagler Type 6"
"212","Tele Vue 5mm Radian"
"213","Tele Vue 5mm Nagler Type 6"
"214","Smart Astronomy 19mm Flat Field $45"
"215","Explore Scientific 82 Degree 6.7mm eyepiece for 8.8mm"
"216","Celestron Luminos Series 1.25"" in. 15 mm Eyepiece - 93432"
"217","Celestron 1.25"" 10mm Luminos Eyepiece - 93431"
"218","Celestron Luminos Series 1.25"" 7 mm Eyepiece - 93430"
"219","Olivon 1.25"" 8mm to 24mm Zoom Eyepiece"
"220","Baader Morpheus 6.5mm for sale - updated"
"221","celestron 25mm plossl. REDUCED.... AGAIN"
"222","18mm Celestron Ultima # 93353"
"223","Eyepiece / Finder Illuminator with Variable Pulse Function"
"224","Meade HD-60 12mm /25mm"
"225","Meade 5000 6.7mm uwa"
"226","Explore Scientific 28mm 68 degree"
"227","Televue Nagler 31mm **Excellent condition**"
"228","Meade HD-60 6.mm and 9mm"
"229","REDUCED:  NEW SkyWatcher 5mm UWA Eyepiece"
"230","Celestron Ultima WA 15mm"
"231","New in Box Meade Series 5000 UWA 20mm"
"232","EXPLORE SCIENTIFIC 82° 30MM"
"233","Pentax XW 10 mm"
"234","18mm Meade 5000 UWA eyepiece"
"235","Celestron 1.25” eyepiece kit + filters and case. Newish"
"236","** WANTED---18mm RADIAN ---** WANTED **"
"237","Celestron Luminos 23mm"
"238","Tele Vue Nagler Type 6 9mm"
"239","Tele Vue Delos 6mm"
"240","Meade Research Grade 4mm Eyepiece"
"241","Pair of Denkmeier 21mm eyepieces...Price Reduced"
"242","NEW SkyWatcher 2 inch 28mm LET Eyepiece."
"243","Celestron Luminos Series 2in. 19mm Eyepiece -  93433"
"244","Celestron Luminos Series 2"" in. 23mm Eyepiece -  93433"
"245","Celestron 40mm Plössl (1.25"") - Excellent Condition"
"246","Galileo 1.25"" 25mm Astroscopic Eyepiece"
"247","Explore Scientific 20mm 100 degree eye piece"
"248","1.25"" Orion Highlight 26mm Plossl"
"249","Meade 24mm ultrawide"
"250","Explore Scientific 20mm"
"251","Two TeleVue EPs: 11mm and 18.2mm"
"252","Russell Super Wide Konigs 14mm & 19mm"
"253","Orion Ultrascopic Eyepieces"
"254","2” BW Optik 30mm 80* Ultrawide"
"255","Four High Point Scientific Plossls and aluminum case"
"256","Pro-Optic Plossl Eyepiece Set 1.25"""
"257","Astro Hutech 12.5MM Japanese ortho 47 shipped"
"258","Takahashi MC Abbe Ortho set 6,9,12.5,18,25mm"
"259","TMB Planetary II - 6mm"
"260","new large accessory case;binos,cameras,EPs?"
"261","Smart Astronomy UW80* F20mm modular 2"" EP"
"262","ZAO II 4 mm Factory Vacuum Sealed"
"263","ZAO II 6 mm Factory Vacuum Sealed"
"264","Televue TV 4X Powermate"
"265","Explore Scientific 20mm 100 degree eye piece"
"266","Lot of 5 Great Eyepieces - LOW PRICE"
"267","Televue Radian 4mm"
"268","Vixen LVW 5mm $130 Shipped in CONUS and I pay fee."
"269","Televue and Orion Eyepieces"
"270","WANTED: Siebert 2” 34-36mm observatory series eyepiece"
"271","6 mm Brandon eyepiece"
"272","Siebert 34 mm Observatory Eyepiece"
"273","Meade 5000 34mm SWA"
"274","Final Offer: Bausch & Lomb 17mm Professional Grade EPs"
"275","Coronado CEMAX Solar Eyepiece Set"
"276","Japanese Kellner Eyepieces (NEW)"
"277","Orion 2x 4 element super barlow"
"278","Edmund RKE 8mm for sale!"
"279","TV Nagler 22mm T4  $330 + shipping & PP"
"280","Winged Eye Guards for Celestron Ultima eyepieces"
"281","Televue 32mm Widefield 2"" 65 deg AFOV"
"282","32 mm, 1.25"" Plossl Eyepiece"
"283","Celestron Ultima 7.5mm Japan, Excellent"
"284","Vintage Brandon Eyepiece"
"285","Orion Stratus EPs 30mm, 21mm, 17mm, FREE SHIPPING!"
"286","TV 55 Plossl"
"287","Explore Scientific ES82 18mm"
"288","Pentax 8-24mm SMC Zoom Eyepiece"
"289","Tele Vue 7mm Nagler Type 6"
"290","Tele Vue 10mm Radian"
"291","Tele Vue 19mm Panoptic"
"292","10mm Pentax XW"
"293","Explore Scientific 30 mm Eyepiece"
"294","Orion Q70 26mm 2"" Super Wide Angle"
"295","Meade 24mm series 5000 Ultra wide (82 degree)"
"296","Meade 20mm series 5000 ultra wide (82 degtree)"
"297","Sirius 40mm Plossl - 1.25"""
"298","Televue 31 Eyepiece Wanted!"
"299","Binoviewer EP Pairs Barlows Meade Bausch & Lomb Edmund Cave"
"300","Wanted: Explore Scientific 8.8mm 82°"
"301","TeleVue 5x Powermante"
"302","Brandon 48mm - Reduced"
"303","Televue 32mm Plossl pair circle ""R"""
"304","Meade 40mm 1.25'' Plossl Smoothie"
"305","Astro-Physics GTO CP2 control box"
"306","Ethos 3.7mm SX 110° - MINT"
"307","TeleVue Nagler 26mm T5"
"308","TeleVue 17mm Nagler Type 4 Eyepiece"
"309","Astro Tech 2"" Newtonian Coma Corrector"
"310","Meade  1 1/4"" Plossl and Super Plossl eyepieces with cases"
"311","Meade 5000 series 14mm plossl"
"312","13mm Televue Ethos BNIB"
"313","REDUCED Meade F6.3 Focal Reducer"
"314","Meade Illuminated Astrometric Eyepiece"
"315","Astro-Tech 12mm Dual ED Paradigm Eyepiece"
"316","Televue Ethos 4.7 SX 110 Degree Eyepiece"
"317","Agena Starguider EPs 18mm, 15mm, 8mm FREE SHIPPING"
"318","Scopetronix Maxview 40"
"319","Pairs of Nagler T6 11mm & 5mm, also single EP's available."
"320","Meade Series 4000 8-24mm Zoom Eyepiece (1.25"")"
"321","Surplus shed 38mm 1.25 eyepiece."
"322","TV Paracorr Visual PCV-2000"
"323","Vixen 2.5mm LV Lanthanum and Orion 3.8mm Lanthanum"
"324","Televue 8mm"
"325","WANTED PARKS GS EYEPIECES TOP $ PAID"
"326","Eyepieces and Eyepiece Peripherals"
"327","TeleVue Doptrix Adapter (DEA-001) for 24 Panoptic"
"328","Updated..Wanted Morpheous 17.5mm lens"
"329","Tele Vue Nagler 3.5mm, Type 6"
"330","Explore Scientific 17mm 92° long eye relief (from EU)"
"331","Explore Scientific 9mm 120° (from EU)"
"332","Meade XWA 14mm Series 5000 eyepiece"
"333","Agena Starguider Dual ED 3.2mm"
"334","Agena Starguider Dual ED 5.0mm"
"335","35mm Baader Eudiascopic ED"
"336","Baader Hyperion Mark IV 24mm-8mm Zoom"
"337","Nagler 4.8 ""smoothie"""
"338","TeleVue Plossl set 8-32"
"339","More classic eyepieces - Edmund, Jaegers, Brass"
"340","Classic Eyepieces -"
"341","TeleVue Nagler T6 complete set"
"342","Widescan Type III 30mm 84* KK Japan"
"343","Great alternativ for ZEISS Abbé A-25"
"344","Reduced: VINTAGE CELESTRON 25mm KELLNER EYEPIECE"
"345","Lower $: ORION SIRIUS 25mm PLOSSL – Excellent Condition!"
"346","Reduced: STARGUIDER COLLIMATING EYEPIECE - Excellent Condition!"
"347","TeleVue Ethos 21mm  100° eyepiece - mint"
"348","TeleVue Ethos 17 mm 100  degrees - mint"
"349","Wanted: Junker Meade 6.7mm UWA Series 4000"
"350","Tele Vue DeLite 4mm - Brand New in Box"
"351","Tell Vue Radians 8mm, 10mm, 12mm, 14mm, 18mm"
"352","19mm Panoptic"
"353","Classic Celestron/Vixen SILVERTOPS, set of 4"
"354","Celestron X-Cel LX 3x Barlow #93428"
"355","Baader 1.25"" 2.25x Hyperion Zoom Barlow kit with T-Adapter 2956180"
"356","Celestron X-Cel LX 12mm  1.25"" Eyepiece"
"357","Celestron X-Cel LX 25mm  1.25"" Eyepiece"
"358","Classic Meade EPs and Barlow"
"359","Televue Visionary 5mm DeLite near perfect"
"360","Televue 32mm Plossls"
"361","TeleVue Nagler Type 5 31mm. REDUCED $$"
"362","56mm 2"" Meade (or similar)"
"363","ES 20mm 68-degree"
"364","WANTED: 6mm TeleVue Ethos"
"365","4x Pre-RKE Edmund 1/2"" 1.25"" EPs"
"366","Televue Ethos 13 100 Degree Eyepiece"
"367","Celestron 9mm Ortho"
"368","Vixen LV 10mm - Made in Japan"
"369","Ethos 10mm ($475) looking for two of them"
"370","TeleVue Ethos 10 mm eyepiece"
"371","Explore Scientific 14mm. 82 Degree FOV Eyepiece"
"372","Televue Nagler 13mm"
"373","Meade series 4000 2 inch 56 mm Eyepiece as new"
"374","Garrett Optical 38mm 2"" eyepiece 69' FOV"
"375","Zhumell Eyepiece 9mm 100 degree wide angle 2"" and 1.25"""
"376","William Optics Binoviewer with 20mm eyepieces"
"377","TeleVue Radian 6mm and 8mm"
"378","Tele Vue 32mm Plossl"
"379","Televue Nagler 11mm Type 1 Circle NJ"
"380","Tele Vue 19 mm Panoptic"
"381","Mint 70's vintage Celestron ortho's 6mm and 7mm Reduced"
"382","Televue 40 mm Wide field eyepiece 2 inch"
"383","TELE VUE 31 NAGLER"
"384","[New] Explore Scientific 24mm 82 Deg EP"
"385","Pentax XW 20mm EP"
"386","Meade Series 4000 Super Plössl 9.7mm (Japan)"
"387","Orion 20mm illuminating centering eyepiece"
"388","ORION EXPANSE 6MM, 9MM AND 20MM"
"389","Edmund 15mm & 8mm RKE Eyepieces"
"390","SmartAstronomy Extra Flat 19mm 65° 1.25"" Eyepiece w/ Adjustable Eye Relief"
"391","Celestron 18mm Xcel eyepiece"
"392","Tele Vue 11mm DeLite, Excellent Condition"
"393","Binoviewer pair of Knight OWL 12.5mm Plossl eyepieces"
"394","Pentax 5.2mm XL Eyepiece"
"395","Nice 26mm, 17mm, and 10mm Plossl Pairs"
"396","Various Meade Eyepieces"
"397","17mm Televue Plossl Smoothie with box and cap"
"398","$55 SHIPPED, Set of 3 Celestron 'black' 6mm/9mm/15mm plossls NOS"
"399","Tele Vue 11 mm Nagler very good $150"
"400","19mm PAN very good condition $140"
"401","70mm Kellner Eyepiece - Unusual"
"402","Tele Vue Panoptic 15mm"
"403","27mm Panoptic"
"404","Edmund Scientific Co. 15mm RKE - LNIB"
"405","Meade 25mm Series 3000 Plossl 1.25"" Taiwan"
"406","Pentax 7mm XL - Excellent"
"407","Lot of Orion Sirius, Orion Expanse, Sterling, etc - FREE SHIP"
"408","Tele Vue 7mm DeLite, Excellent Condition"
"409","[Reduced] Leica HC plan 10x/25 eyepiece"
"410","Vintage Celestron 25mm Ortho pair"
"411","Vintage Meade 25mm Ortho"
"412","University Optics flat-top and VT Konigs"
"413","32mm Super Plossl 1.25"" eyepiece"
"414","Celestron 8-24 Zoom 1.25"" eyepiece"
"415","Binoviewer pair of Knight OWL 20mm Plossl eyepieces"
"416","Pentax Ortho EP"
"417","REDUCED - Televue 21mm Ethos"
"418","Explore Scientific ES 100 9mm Argon-purged 100-degree Eyepiece"
"419","William Optics 12.5mm SPL eyepiece"
"420","Zeiss, Takahashi and Pentax .956"" eyepieces"
"421","15mm TeleVue Panoptic"
"422","Explore Scientific 2"" 40mm 68° Series Eyepiece"
"423","Nikon NAV HW 17 /14"
"424","Meade UWA 14 mm - Excellent Shape - $175"
"425","20mm Nagler Type 5"
"426","Meade 14mm Series 4000 UWA Japan 2"" in ROUGH condition"
"427","15mm Panoptic"
"428","WANTED: Meade Series 2 Ortho Eyepieces"
"429","Lower $: MEADE 25mm MA – Excellent Condition!"
"430","Zeiss E-PL 10x/20 Eyepiece pair"
"431","Zeiss E-PL 10x/20 eyepiece pair. Excellent Optics!"
"432","Carl Zeiss PL 10x18 25mm Aspherics EP pair"
"433","21mm Ethos"
"434","Meade Series 4000 UWA 6.7mm"
"435","Televue 7mm Nagler type 6 Price reduced Sold"
"436","Televue 8-24mm Click-Stop Eyepiece"
"437","Televue 17.3mm Delos NEW"
"438","Explore Scientific 2X Tele Compressor/Barlow Like New"
"439","Meade HD60 25mm WP Like New"
"440","Wanted   5mm TV Nagler T6"
"441","Plossls, Plossls - TOO MANY PLOSSLS!! Cheap with FREE SHIP!"
"442","Televue Nagler 4.8mm"
"443","TeleVue Ethos SX 3.7mm 110 degree FOV"
"444","Orion Q70 32mm 2"" Eyepiece - REDUCED"
"445","NAGLER 20mm T5"
"446","Teleview 4.8mm Nager EP - $90"
"447","REDUCED Televue 8mm Radian EP - 115.00"
"448","Meade 26mm Super Plossl & Prism Diagonal"
"449","1.25"" 19mm Wide-Angle Kellner"
"450","Carton 1.25"" 8mm Plossl Eyepiece"
"451","Garrett Optical 38mm 2"" SWA  $60"
"452","Nikon 7mm ortho Eyepiece"
"453","Astro-Physics Super Planetary Eyepieces"
"454","Criterion Vintage Zoom Eyepiece 8.4mm - 21mm in excellent condition"
"455","Explore Scientific 100 Degree 20mm"
"456","Orthos"
"457","UWA Series 5000 Meade 24mm REDUCED"
"458","Meade 20mm wide angle Erfle 1.25"""
"459","Televue Ethos 13mm 2” / 1.25” Ethos 100 degree eyepiece"
"460","Celestron Eyepiece Set w/ Aluminum Case"
"461","Vintage Japanese 30MM Orion Ultrascan."
"462","6mm TV Ethos for sale"
"463","FS: TeleVue 5mm DeLite"
"464","Almost gone! *Like New* Explore Scientific 82/68 Degree Eyepieces"
"465","Orion 15mm Expanse 66* AFOV"
"466","GSO 2"" Barlow 2x Lens"
"467","Explore Scientific 8.8mm 82 Degree Eyepiece"
"468","Baader Hyperion Mark III"
"469","Meade 20mm Super Plossl"
"470","Baader MK lV 8-24 Zoom"
"471","Criterion R. 50mm"
"472","Celestron Ultima Japan Complete Set"
"473","Explore Scientific 24mm 68* Eyepiece"
"474",".965 3 eyepiece kit H20, H12.5, H6MM"
"475","Televue 24mm Panoptic"
"476","Celestron .965 30 kellner and 1.25"" Ultima 30"
"477","Meade Series 4000 EPs-lot of 4 - Reduced"
"478","Meade 1.25"" I-R 9mm plossl w lower cap JAPAN"
"479","MEADE RESEARCH GRADE 7MM ORTHOSCOPIC WITH BOX"
"480","Celestron 8mm-24mm Zoom eyepiece"
"481","WTB 6mm Ethos"
"482","CIRCLE T CELESTRON .965 4MM ORTHOSCOPIC JAPAN"
"483","Celestron Luminos Logo Covers"
"484","Antares 15mm (Ultima) Plossl"
"485","Televue 8mm Plossl Eyepiece"
"486","Explore Scientific 100* AFOV 20mm N2  Waterproof Eyepiece"
"487","Celestron Eyepiece and Filter Kit"
"488","Explore Scientific 24mm 1.25"" 68degree Argon Purged EP"
"489","Parks 25mm Gold"
"490","Orion volcano top 18mm orthoscopic"
"491","Meade 32mm 1.25"" Super Plossl JAPAN - Nice!"
"492","Televue Nagler 9mm Type 1"
"493","Tele Vue 7mm Nagler"
"494","Tele Vue 20mm Plossl"
"495","TeleVue Paracorr Type 2"
"496","FS: GSO 1.25"" 40mm Plossl (Free Shipping)"
"497","Looking for Agena SWA 20mm 70* 1.25"" Eyepieces"
"498","Meade 4000 Series Super Plossl 9.7mm"
"499","Meade 5000 5-element 40mm 2"" Plossl"
"500","TeleVue 11mm DeLite"
"501","Beginner eyepieces, barlows; also, 1.25"" adapter"
"502","TeleVue Ethos 4.7mm 110° Eyepiece in Mint Condition"
"503","University Optics 12mm Konig like new w/box and caps"
"504","TeleVue 9mm DeLite (NEW)"
"505","Celestron 25mm SMA"
"506","Tele Vue 2x Barlow"
"507","Explore Scientific 4.7mm x 1.25” 82 degree eyepiece"
"508","Televue 32mm Plossl eyepiece with TV cap"
"509","WANTED--Televue 7mm Delite--WANTED"
"510","Explore Scientific 34mm 68° Series (2"")"
"511","Like New Explore Scientific (ES) 82 degree 30mm EP"
"512","CELESTRON 1.25"" 8-24MM ZOOM EYEPIECE #93230"
"513","Explore Scientific 18 mm 82 Degree - Opened Box - Like New"
"514","Mk III Hyperion Zoom 8-24 mm"
"515","Meade series 4000 15MM QX wide angle eyepiece in box"
"516","Various Quality 1.25"" EyePieces for sale with caps"
"517","Meade 14mm UWA 5000 Series"
"518","Explore Scientific 32mm 62-Degree"
"519","Carl Zeiss Abbe Ortho (ZAO) II Eyepiece Sets NOW SPLITTING UP"
"520","Vixen HR eyepieces"
"521","TeleVue Type 2 20mm"
"522","Meade / Smart Astronomy $45"
"523","Meade Series 5000 15mm Mega Wide Angle Eyepiece (2"")"
"524","Televue Plossl 11mm eyepiece price reduced"
"525","17mm Televue Ethos"
"526","10mm Televue Delos"
"527","35mm Televue Panoptic"
"528","Imperfect Orion/Vixen LVW 17mm"
"529","Mk III Hyperion Zoom 8-24 mm"
"530","Pentax XL-10.5mm and XL-21mm eyepieces"
"531","Meade 26mm Plossl"
"532","Antares Ortho 12.5mm"
"533","REDUCED MORE: Pentax 30mm XW eyepiece"
"534","Two Vixen LVWs 5mm and 8mm"
"535","Zhumell Eyepiece kit"
"536","GSO Superview 30mm, 2"" Eyepiece"
"537","Explore Scientific 14mm & 6.7 mm Eyepieces 82 Degrees"
"538","TeleVue 55mm Plossl"
"539","Clavè eyepiece 27mm"
"540","TELEVUE 7mm DeLite (NEW)"
"541","Meade MA 12mm Illuminate Reticle Eyepiece"
"542","LIKE NEW 5mm Orion Stratus 68 deg Eyepiece  FREE SHIPPING!"
"543","17 mm Nagler Type 4 - reduced"
"544","Tele Vue 40mm Plossl"
"545","Acuter Spotting Scope Eyepieces"
"546","Baader Zoom Mk 4, like new condition"
